Date,Open,High,Low,Close,Volume
2012-11-15,16.682,16.744,16.221,16.314,908457577
2012-11-14,16.931,16.992,16.641,16.662,548742032
2012-11-13,16.726,17.084,16.647,16.85,613371969
2012-11-12,17.198,17.208,16.718,16.848,593371131
2012-11-09,16.773,17.22,16.564,16.979,1069941417
2012-11-08,17.4,17.449,16.612,16.69,1214389578
2012-11-07,17.809,17.832,17.248,17.318,912104499
2012-11-06,18.235,18.251,17.922,18.008,433209289
2012-11-05,18.028,18.16,17.844,18.062,611751652
2012-11-02,18.41,18.442,17.757,17.82,692866368
2012-11-01,18.482,18.629,18.357,18.429,417828846
2012-10-31,18.379,18.598,18.158,18.393,589555451
2012-10-26,18.828,18.97,18.258,18.661,1177023706
2012-10-25,19.154,19.217,18.708,18.831,756860584
2012-10-24,19.199,19.358,18.866,19.057,645161205
2012-10-23,19.495,19.584,18.899,18.95,816938172
2012-10-22,18.921,19.63,18.869,19.589,631563115
2012-10-19,19.497,19.519,18.834,18.841,859892296
2012-10-18,19.76,19.837,19.463,19.546,550746280
2012-10-17,20.047,20.168,19.897,19.915,449783285
2012-10-16,19.63,20.091,19.495,20.075,635302990
2012-10-15,19.537,19.622,19.274,19.611,499609086
2012-10-12,19.45,19.63,19.319,19.455,531587354
2012-10-11,19.972,19.995,19.405,19.405,630929777
2012-10-10,19.765,19.926,19.681,19.801,589520543
2012-10-09,19.732,19.788,19.264,19.645,968999625
2012-10-08,19.985,20.006,19.653,19.717,737214283
2012-10-05,20.551,20.575,20.121,20.162,686294613
2012-10-04,20.738,20.831,20.561,20.601,428332393
2012-10-03,20.541,20.757,20.472,20.745,490140439
2012-10-02,20.446,20.586,20.101,20.431,725672815
2012-10-01,20.735,20.908,20.283,20.373,627997767
2012-09-28,20.97,21.044,20.599,20.61,618268090
2012-09-27,20.524,21.077,20.403,21.051,686297979
2012-09-26,20.66,20.783,20.427,20.55,666492958
2012-09-25,21.264,21.403,20.793,20.81,599411643
2012-09-24,21.22,21.477,21.101,21.343,738970657
2012-09-21,21.701,21.783,21.607,21.63,660218164
2012-09-20,21.601,21.629,21.429,21.587,388699023
2012-09-19,21.635,21.749,21.614,21.692,377585288
2012-09-18,21.623,21.699,21.516,21.687,431336670
2012-09-17,21.607,21.621,21.46,21.62,460115590
2012-09-14,21.317,21.534,21.252,21.357,693779814
2012-09-13,20.929,21.178,20.847,21.1,691245675
2012-09-12,20.602,20.696,20.267,20.693,822863796
2012-09-11,20.548,20.702,20.283,20.41,582221043
2012-09-10,21.023,21.11,20.455,20.476,563604326
2012-09-07,20.949,21.085,20.879,21.023,380818898
2012-09-06,20.798,20.956,20.724,20.893,452249462
2012-09-05,20.873,20.896,20.687,20.707,388525293
2012-09-04,20.567,20.859,20.53,20.853,424919278
2012-08-31,20.615,20.656,20.306,20.552,390944535
2012-08-30,20.72,20.747,20.479,20.51,349676583
2012-08-29,20.863,20.937,20.78,20.807,234138776
2012-08-28,20.854,20.889,20.72,20.848,308678386
2012-08-27,21.008,21.037,20.81,20.876,493187373
2012-08-24,20.377,20.683,20.253,20.49,499842677
2012-08-23,20.579,20.696,20.426,20.472,485415130
2012-08-22,20.219,20.668,20.022,20.664,653057016
2012-08-21,20.725,20.851,20.091,20.269,937701960
2012-08-20,20.081,20.549,20.078,20.549,708767507
2012-08-17,19.773,20.025,19.736,20.022,511579015
2012-08-16,19.501,19.673,19.479,19.661,294348405
2012-08-15,19.503,19.587,19.393,19.49,297524449
2012-08-14,19.521,19.731,19.47,19.516,392976874
2012-08-13,19.26,19.463,19.256,19.463,321917427
2012-08-10,19.115,19.209,19.115,19.208,225388636
2012-08-09,19.088,19.208,19.086,19.177,256279339
2012-08-08,19.055,19.192,18.985,19.069,283461117
2012-08-07,19.158,19.227,19.012,19.1,337194758
2012-08-06,18.99,19.223,18.927,19.152,350776444
2012-08-03,18.877,19.011,18.813,18.941,400076537
2012-08-02,18.544,18.788,18.465,18.697,385641133
2012-08-01,18.948,18.963,18.549,18.668,446181721
2012-07-31,18.557,18.817,18.541,18.79,536404208
2012-07-30,18.18,18.44,18.083,18.305,439967951
2012-07-27,17.689,18.022,17.586,18.002,468965943
2012-07-26,17.835,17.854,17.546,17.685,472116980
2012-07-25,17.672,17.866,17.536,17.688,1018230195
2012-07-24,18.685,18.756,18.412,18.486,652380548
2012-07-23,18.285,18.64,18.08,18.576,566002400
2012-07-20,18.859,18.902,18.572,18.59,461196036
2012-07-19,18.805,18.93,18.642,18.899,506622721
2012-07-18,18.661,18.715,18.567,18.65,292955924
2012-07-17,18.791,18.811,18.554,18.672,340942623
2012-07-16,18.615,18.814,18.612,18.671,349800268
2012-07-13,18.548,18.679,18.457,18.61,361648041
2012-07-12,18.465,18.564,18.233,18.424,496550470
2012-07-11,18.646,18.694,18.372,18.594,544480448
2012-07-10,19.01,19.069,18.621,18.71,593331664
2012-07-09,18.62,18.885,18.584,18.884,440176032
2012-07-06,18.676,18.718,18.506,18.639,486387521
2012-07-05,18.475,18.899,18.447,18.763,562048705
2012-07-03,18.301,18.457,18.274,18.439,280616348
2012-07-02,17.988,18.257,17.954,18.229,464219026
2012-06-29,17.78,17.965,17.665,17.965,488859750
2012-06-28,17.587,17.658,17.4,17.506,328477392
2012-06-27,17.689,17.741,17.595,17.673,235619443
2012-06-26,17.577,17.673,17.453,17.598,321109451
2012-06-25,17.759,17.836,17.547,17.559,331977268
2012-06-22,17.812,17.909,17.702,17.907,330398538
2012-06-21,18.01,18.096,17.763,17.77,378897077
2012-06-20,18.095,18.128,17.866,18.019,416821446
2012-06-19,17.947,18.15,17.937,18.071,419289801
2012-06-18,17.565,18.085,17.547,18.02,510762316
2012-06-15,17.566,17.677,17.522,17.661,388768643
2012-06-14,17.574,17.644,17.45,17.583,401313876
2012-06-13,17.674,17.795,17.547,17.602,340971139
2012-06-12,17.672,17.738,17.433,17.724,505503510
2012-06-11,18.08,18.104,17.554,17.572,686057050
2012-06-08,17.586,17.86,17.504,17.852,403095393
2012-06-07,17.759,17.76,17.551,17.589,440781216
2012-06-06,17.467,17.653,17.396,17.581,427326988
2012-06-05,17.266,17.426,17.175,17.315,450374728
2012-06-04,17.273,17.458,16.873,17.359,646292535
2012-06-01,17.509,17.617,17.243,17.258,604540147
2012-05-31,17.865,17.889,17.581,17.772,570893485
2012-05-30,17.51,17.842,17.429,17.817,614333822
2012-05-29,17.563,17.658,17.39,17.606,441498067
2012-05-25,17.369,17.408,17.18,17.298,380842485
